315424610,,,,,,,,,,,39473,,,,,,,,,,,,,,
315460210,,,,,,,,,,95379,,,,,,,,,,,,,,,
315491110,,,,,,,,,,,81563,,,,,,54035,,,,,,,,
315491210,,69940,,,,,,,,,,,,,,,86214,,,,,,,,
317519110,98075,,,,,,,,,,,,,,,,,,,,,,,,
317524610,,,,,,,,,,,52381,,,,,,,,,,,,,,
317529310,90661,,,,,,,,,73603,,,,,,,,,,,,,,,
317537210,,81391,,,,,,83293,,67077,93953,,,,,,87995,,,,,,,,
317550710,,,,,,,,90441,,,,,,,,,,,,,,,,,
317561210,98226,,,,,,,,,,,,,,,,,,,,,,,,
318319110,39945,,,,,,,,,46233,,,,,,,,,,,,,,,
318337210,42396,,,,,,,,,48262,,,,,,,,,,,,,,,
318360210,50884,,,,,,,,,77540,,,,,,,,,,,,,,,
318361210,60666,,,,,,,,,51434,,,,,,,,,,,,,,,
319761210,23387,,,,,,,,,95292,,,,,,,,,,,,,,,
319824510,,,,,,,,49151,,49394,68521,,,,,,50420,,,,,,,,
319824610,,,,,,,,,,55125,70778,,,,,,67238,,,,,,,,
319837210,100169,,,,,,,,,,,,,,,,,,,,,,,,
319899510,65937,97121,,,,,,,,100727,,,,,,,,,,,,,,,
320024610,,,,,,,,,,38203,78251,,,,,,39200,,,,,,,,
320029310,59509,,,,,,,65953,,78013,,,,,,,72091,,,,,,,,
320037210,,,,,,,,86099,,83167,,,,,,,,,,,,,,,
320050710,81618,,,,,,,,,,,,,,,,,,,,,,,,
320061210,73764,,,,,,,88321,,90936,,,,,,,,,,,,,,,
320091110,,72036,,,,,,,,40762,,,,,,,48102,,,,,,,,
320161210,31928,,,,,,,,,60266,,,,,,,,,,,,,,,
320190010,,,,,,,,,,46507,,,,,,,,,,,,,,,
320224510,53295,96598,,,,97341,,71840,,,98467,,,,,,76288,,,,,,,,
320260210,89987,,,,,,,,,,,,,,,,,,,,,,,,
320261210,97865,,,,,,,,,,,,,,,,,,,,,,,,
320324510,,,89001,,,,,,,,,,,,,,,,,,,,,,
320329310,37716,79052,,,,,,82790,,65105,,,,,,,96605,,,,,,,,
320337210,,68352,,,83113,,,58987,,37310,69077,,,,,,73544,,,,,,,,
320390010,,66126,,,,,,45047,,30750,76809,,,,,,49558,,,,,,,,
320429310,,,,,,,,,,55785,,,,,,,,,,,,,,,
320461210,29648,,,,,,,,,56644,,,,,,,,,,,,,,,
320624510,,,,,,,,64141,,,86405,,,,,,76419,,,,,,,,
320629310,96557,,,,,,,,,,,,,,,,,,,,,,,,
320691110,,93229,,,,,,,,,,,,,,,,,,,,,,,
320861210,58305,,,,,,,,,63186,,,,,,,,,,,,,,,
321024510,,,,,,,,,,27574,,,,,,,,,,,,,,,
321024610,,,,,,,,,,29339,,,,,,,,,,,,,,,
321037210,89883,,,,,,,,,68968,,,,,,,,,,,,,,,
321161210,29300,,,,,,,,,84164,,,,,,,,,,,,,,,
321190010,,,,,,,,,,25327,,,,,,,,,,,,,,,
