315424610,,,,,,,,,,,,,,,,,,,43463,22143,,,,,39676
315460210,,,,,,,,,,,,,,,,,,,,,,,,,93471
315461210,,,,,,,,,,,,,,,,,,,,,,,,,82903
315491110,,,,,,,,,,,,,,,,,,,70995,32374,,,,,52376
315491210,,,,,,,,,,,,,,,,,,,52613,34117,,,,,58669
317519110,,,,,,,,,,,,,,,,,,,,,,,,,37559
317524510,,,,,,,,,,,,,,,,,,,64704,18785,,,,,35639
317524610,,,,,,,,,,,,,,,,,,,77201,22642,,,,,42539
317529310,,,,,,,,,,,,,,,,,,,,,,,,,86767
317537210,,,,,,,,,,,,,,,,,,,65210,,,,,,62909
317546110,,,,,,,,,,,,,,,,,,,42226,,,,,,55703
317550710,,,,,,,,,,,,,,,,,,,35811,,,,,,87103
317619110,25316,,,,,,,,64570,33880,,,,,,,,,,14148,,,,,
317624510,6848,,,,,,,,15129,9455,,,,,,,,,,4430,,,,,
317624610,8345,,,,,,,,19822,10436,,,,,,,,,,5319,,,,,
317625310,14902,,,,,,,,70944,13818,,,,,,,,,,13221,,,,,
317625910,33921,,,,,,,,86600,68171,,,,,,,,,,44453,,,,,
317637210,19156,,,,,,,,87531,22910,,,,,,,,,,13874,,,,,
317661210,18255,,,,,,,,97208,47238,,,,,,,,,,22226,,,,,
317690010,13442,,,,,,,,81515,19917,,,,,,,,,,15581,,,,,
317691010,11310,,,,,,,,37768,10568,,,,,,,,,,8789,,,,,
317692110,10033,,,,,,,,32820,13496,,,,,,,,,,9159,,,,,
317699510,9703,,,,,,,,25785,11978,,,,,,,,,,7571,,,,,
318224510,,,,,,,,,78667,,,,,,,,,,,2645,,,,,
318224610,,,,,,,,,100539,,,,,,,,,,,3379,,,,,
318237210,,,,,,,,,,,,,,,,,,,,6557,,,,,
318250710,,,,,,,,,9958,,,,,,,,,,,7335,,,,,
318299510,,,,,,,,,81994,,,,,,,,,,,5785,,,,,
318319110,,,,,,,,,94844,,,,,,,,,,,40860,,,,,
318324510,,,,,,,,,23519,,,,,,,,,,,11253,,,,,
318324610,,,,,,,,,39398,,,,,,,,,,,14028,,,,,
318337210,,,,,,,,,99989,,,,,,,,,,,42764,,,,,
318360210,,,,,,,,,100641,,,,,,,,,,,,,,,,
318361210,,,,,,,,,99601,,,,,,,,,,,62253,,,,,
318391110,,,,,,,,,48570,,,,,,,,,,,25123,,,,,
318424510,,,,,,,,,21417,,,,,,,,,,,4706,,,,,
318461210,,,,,,,,,93756,,,,,,,,,,,24985,,,,,
319729310,,,,,,,,,43725,,,,,,,,,,,14413,,,,,
319737210,,,,,,,,,35422,,,,,,,,,,,12168,,,,,
319761210,,,,,,,,,93485,,,,,,,,,,,22336,,,,,
319824510,,,,,,,,,,,,,,,,,,,,30046,,,,,67268
319824610,,,,,,,,,,,,,,,,,,,,,,,,,95897
319837210,,,,,,,,,,,,,,,,,,,,,,,,,82459
319899510,,,,,,,,,,,,,,,,,,,,63781,,,,,95793
319924510,1238,,,,,,,,3594,2094,,,,,,,,,,984,,,,,
319924610,2141,,,,,,,,6087,2895,,,,,,,,,,1466,,,,,
319926310,2976,,,,,,,,11879,4374,,,,,,,,,,2793,,,,,
319937210,5540,,,,,,,,31860,7289,,,,,,,,,,4836,,,,,
319961210,8152,,,,,,,,96282,17698,,,,,,,,,,8405,,,,,
319991210,2499,,,,,,,,9778,3619,,,,,,,,,,2095,,,,,
319992010,3440,,,,,,,,15693,5127,,,,,,,,,,2906,,,,,
319992110,2506,,,,,,,,13104,4557,,,,,,,,,,2702,,,,,
320024610,,,,,,,,,,,,,,,,,,,,29942,,,,,39360
320029310,,,,,,,,,,,,,,,,,,,,50196,,,,,96540
320037210,,,,,,,,,,,,,,,,,,,,,,,,,66721
320050710,,,,,,,,,,,,,,,,,,,,,,,,,87749
320061210,,,,,,,,,,,,,,,,,,,,,,,,,99562
320091110,,,,,,,,,,,,,,,,,,,,15815,,,,,50067
320119110,,,,,,,,,96306,,,,,,,,,,,52523,,,,,
320124510,,,,,,,,,34285,,,,,,,,,,,9046,,,,,
320161210,,,,,,,,,82171,,,,,,,,,,,,,,,,
320190010,,,,,,,,,99851,,,,,,,,,,,39667,,,,,
320199510,,,,,,,,,59385,,,,,,,,,,,14841,,,,,
320224510,,,,,,,,,,,,,,,,,,,,45900,,,,,84517
320237210,,,,,,,,,,,,,,,,,,,,,,,,,75656
320261210,,,,,,,,,,,,,,,,,,,,,,,,,98300
320324510,,,,,,,,,,,,,,,,,,,69138,9659,,,58776,,24000
320324610,,,,,,,,,,,,,,,,,,,76097,10873,,,,,32944
320329310,,,,,,,,,,,,,,,,,,,,34139,,,,,86985
320337210,,,,,,,,,,,,,,,,,,,,30214,,,,,94753
320390010,,,,,,,,,,,,,,,,,,,,20476,,,,,72965
320424510,,,,,,,,,51650,,,,,,,,,,,6536,,,,,
