315424610,25344,41479,,93184,49622,35111,37114,29163,,27110,49407,64864,,,,,37674,,,,,,,,
315424610,,,,,,,,,,,,,,,,,,,,,,,,,
315460210,73076,,,,,,,94838,,81194,,,,,,,,,,,,,,,
315460210,,,,,,,,,,,,,,,,,,,,,,,,,
315461210,96443,,,,,,,,,,,,,,,,,,,,,,,,
315491110,33830,52720,,,36340,55250,42112,50431,,43328,82037,,,,,,80262,,,,,,,,
315491110,,,,,,,,,,,,,,,,,,,,,,,,,
315491210,40383,61843,,,87005,62176,,51176,,45663,60980,,,,,,60935,,,,,,,,
315491210,,,,,,,,,,,,,,,,,,,,,,,,,
317519110,98546,,,,,,,,,87039,,,,,,,,,,,,,,,
317519110,,,,,,,,,,,,,,,,,,,,,,,,,
317524510,23734,33566,87931,52119,28310,33208,38890,30914,,28034,36396,65725,,,38284,,30271,75676,,,,,,,
317524610,27523,36209,76580,66387,45025,41908,50545,33368,,29478,42712,,,,,,39242,,,,,,,,
317524610,,,,,,,,,,,,,,,,,,,,,,,,,
317529310,90319,94759,,,,,,,,95271,,,,,,,,,,,,,,,
317529310,,,,,,,,,,,,,,,,,,,,,,,,,
317537210,54829,78344,,71296,61622,,,81394,,63153,89116,,,,,,83746,,,,,,,,
317537210,,,,,,,,,,,,,,,,,,,,,,,,,
317546110,42122,56231,,,,70375,,59350,,37213,,,,,,,45573,,,,,,,,
317550710,41638,94545,,,,70055,,83438,,68158,,,,,,,90402,,,,,,,,
317550710,,,,,,,,,,,,,,,,,,,,,,,,,
317561210,97146,,,,,,,,,56867,,,,,,,,,,,,,,,
317561210,,,,,,,,,,,,,,,,,,,,,,,,,
318224510,3002,,,,,,,,,4129,,,,,,,,,,,,,,,
318224610,4054,,,,,,,,,5016,,,,,,,,,,,,,,,
318237210,7637,,,,,,,,,10250,,,,,,,,,,,,,,,
318250710,6180,,,,,,,,,9723,,,,,,,,,,,,,,,
318299510,5497,,,,,,,,,7580,,,,,,,,,,,,,,,
318319110,47150,,,,,,,,,83495,,,,,,,,,,,,,,,
318319110,,,,,,,,,,,,,,,,,,,,,,,,,
318324510,17325,,,,,,,,,18408,,,,,,,,,,,,,,,
