315424610,44163,77341,,,,,,46644,,63390,,,,,,,79726,,,,,,,,
315460210,99106,,,,,,,,,,,,,,,,,,,,,,,,
315491110,40204,68966,,,,,,73347,,71336,,,,,,,,,,,,,,,
315491210,72110,,,,,,,75041,,71478,80792,,,,,,,,,,,,,,
317519110,96998,,,,,,,,,,,,,,,,,,,,,,,,
317524510,29915,39366,65607,54351,51601,54461,40248,35647,,39737,61925,,,,,,49986,,,,,,,,
317524610,38502,52979,,,,,,42454,,46208,,,,,,,65011,,,,,,,,
317529310,77676,,,,,,,,,,,,,,,,,,,,,,,,
317537210,70599,,,,,76418,,85462,,67310,,,,,,,,,,,,,,,
317546110,39894,68456,,,,,,49512,,34839,,,,,,,,,,,,,,,
317550710,88490,,,,,,,,,59390,,,,,,,59651,,,,,,,,
317561210,72388,,,,,,,,,,,,,,,,,,,,,,,,
318224510,4472,,,,,,,,,6209,,,,,,,,,,,,,,,
318224610,5818,,,,,,,,,8288,,,,,,,,,,,,,,,
318237210,10993,,,,,,,,,10861,,,,,,,,,,,,,,,
318250710,15694,,,,,,,,,4956,,,,,,,,,,,,,,,
318299510,9560,,,,,,,,,12054,,,,,,,,,,,,,,,
318319110,78712,,,,,,,,,,,,,,,,,,,,,,,,
318324510,26939,,,,,,,,,42262,,,,,,,,,,,,,,,
318324610,37780,,,,,,,,,41109,,,,,,,,,,,,,,,
318337210,74940,,,,,,,,,,,,,,,,,,,,,,,,
318360210,88272,,,,,,,,,,,,,,,,,,,,,,,,
318391110,51344,,,,,,,,,76044,,,,,,,,,,,,,,,
318424510,8859,,,,,,,,,13131,,,,,,,,,,,,,,,
318461210,39109,,,,,,,,,32676,,,,,,,,,,,,,,,
319729310,41309,,,,,,,,,23143,,,,,,,,,,,,,,,
319737210,22426,,,,,,,,,19354,,,,,,,,,,,,,,,
319761210,94113,,,,,,,,,36329,,,,,,,,,,,,,,,
319824510,73004,91814,,,,,,,,50248,,,,,,,,,,,,,,,
319824610,83896,90622,,,,,,98470,,26475,,,,,,,,,,,,,,,
319899510,86365,,,,,,,,,,,,,,,,,,,,,,,,
320024610,67957,97926,,,,,,92462,,,,,,,,,,,,,,,,,
320029310,93369,,,,,,,,,,,,,,,,,,,,,,,,
320037210,68722,,,,,,,,,,,,,,,,,,,,,,,,
320050710,,,,,,,,,,72997,,,,,,,,,,,,,,,
320091110,44713,,,,,,,57725,,,,,,,,,,,,,,,,,
320119110,61528,,,,,,,,,61434,,,,,,,,,,,,,,,
320124510,14827,,,,,,,,,16981,,,,,,,,,,,,,,,
320161210,87972,,,,,,,,,,,,,,,,,,,,,,,,
320190010,71139,,,,,,,,,,,,,,,,,,,,,,,,
320199510,30176,,,,,,,,,17753,,,,,,,,,,,,,,,
320224510,98957,,,,,,,,,85059,,,,,,,,,,,,,,,
320324510,25122,30557,,48673,46822,63905,32769,31894,,29717,95112,,,,,,59852,,,,,,,,
320324610,31587,43918,,66741,58406,49200,97394,40866,,50350,53798,,,,,,60496,,,,,,,,
320329310,82546,,,,,,,,,90325,,,,,,,,,,,,,,,
320337210,89800,,,,,,,,,88918,,,,,,,,,,,,,,,
320390010,86421,,,,,,,,,,,,,,,,,,,,,,,,
320424510,15426,,,,,,,,,22633,,,,,,,,,,,,,,,
320424610,18065,,,,,,,,,25249,,,,,,,,,,,,,,,
320429310,74902,,,,,,,,,,,,,,,,,,,,,,,,
320437210,39279,,,,,,,,,53807,,,,,,,,,,,,,,,
320461210,86661,,,,,,,,,,,,,,,,,,,,,,,,
320624510,68103,93973,,,,,,,,71313,,,,,,,,,,,,,,,
320691110,75067,,,,,,,99481,,88594,,,,,,,,,,,,,,,
320824510,12642,,,,,,,,,14895,,,,,,,,,,,,,,,
320824610,16030,,,,,,,,,16957,,,,,,,,,,,,,,,
320837210,30397,,,,,,,,,33908,,,,,,,,,,,,,,,
320861210,82271,,,,,,,,,52665,,,,,,,,,,,,,,,
321024510,47096,,,,,,,,,93088,,,,,,,,,,,,,,,
321024610,80991,,,,,,,,,82484,,,,,,,,,,,,,,,
321037210,74568,,,,,,,,,,,,,,,,,,,,,,,,
321124510,18884,,,,,,,,,21055,,,,,,,,,,,,,,,
321124610,21981,,,,,,,,,31766,,,,,,,,,,,,,,,
321137210,40986,,,,,,,,,55959,,,,,,,,,,,,,,,
321161210,85335,,,,,,,,,,,,,,,,,,,,,,,,
321190010,61645,,,,,,,,,,,,,,,,,,,,,,,,
321192010,27877,,,,,,,,,18487,,,,,,,,,,,,,,,
321192110,37253,,,,,,,,,53644,,,,,,,,,,,,,,,
321199510,24053,,,,,,,,,45590,,,,,,,,,,,,,,,
321224510,71012,,,,,,,,,85789,,,,,,,,,,,,,,,
321424510,12322,,,,,,,,,14676,,,,,,,,,,,,,,,
321424610,16521,,,,,,,,,15007,,,,,,,,,,,,,,,
321437210,37798,,,,,,,,,37875,,,,,,,,,,,,,,,
319037610,84198,,,,,,,,,,,,,,,,,,,,,,,,
319061210,72478,,,,,,,,,,,,,,,,,,,,,,,,
319062410,73118,,,,,,,97915,,,,,,,,,,,,,,,,,
319224510,29536,49617,,,,,,30792,,39612,,,,,,,47143,,,,,,,,
